,GSM1354764,GSM1354765,GSM1354766,GSM1354767,GSM1354768,GSM1354769,GSM1354770,GSM1354771,GSM1354772,GSM1354773
AC112203.1,4.8742905,5.7630267,6.288006,5.889323,5.517796,5.513055,5.2577095,5.934033,5.2818427,5.322137
AC112243.1,4.7987022,5.7537594,5.333584,5.3327594,5.587304,5.591179,4.933573,5.3289332,5.4859266,5.217
AC112247.1,6.092674,5.9056935,6.1183023,5.7573156,5.6739073,5.7070227,4.8748603,5.6258664,5.4816303,5.4022837
AC112255.1,6.0212183,6.3842597,6.646991,6.185517,6.2939606,5.9887023,5.617331,6.0067215,6.1902957,5.7156925
AC112482.1,10.977599,11.274147,11.340455,11.5902195,11.526387,10.610322,10.683164,10.718973,11.015776,10.696665
AC112487.1,5.14641,5.7156925,5.383021,5.9207697,5.88394,5.060052,4.0060606,5.3299513,5.5479956,5.574159
AC112492.5,6.815325,6.129615,6.5583806,5.914756,6.6479144,6.87097,6.5284014,6.998946,6.9540567,6.9052887
AC112698.1,3.749092,2.9313414,3.9558983,3.9711695,3.259219,5.3994293,4.686013,4.529585,5.3711057,5.4965
AC112719.2,9.487672,9.464772,9.658308,9.906379,9.616492,8.774574,8.9857025,9.126162,8.945569,8.868313
AC112778.1,4.6081557,4.7898664,5.338572,5.104554,5.4160533,5.0395613,5.8069916,4.762584,4.655994,4.793661
AC113167.1,4.7680106,5.6721406,5.5697236,5.4836264,4.784563,5.3582363,4.5589166,3.7953694,4.8524656,4.707617
AC113347.1,7.0324726,6.7547565,6.386689,7.3387423,7.73294,6.615697,7.083735,6.6384892,6.66128,7.0553865
AC113348.2,5.319771,5.8144684,5.685316,5.9790473,5.1843543,5.320282,4.046534,5.8828845,5.8105965,5.4931026
AC113352.1,9.980822,9.840908,10.011616,9.678005,9.993478,9.632947,9.415157,9.423547,9.691151,9.90951
AC113382.2,5.416737,4.4095454,4.956041,4.909223,4.6613994,5.141414,3.5502338,5.499609,5.426801,5.5385847
AC113398.1,8.479234,7.979391,8.634886,8.6297455,8.281162,8.598333,8.743144,8.441355,8.47178,8.477481
AC113410.2,10.962982,11.940063,12.225878,12.406977,11.339118,10.67992,11.024218,10.949234,11.247043,10.994356
AC113414.1,4.5812626,5.340863,6.825944,4.470555,5.44424,5.7302465,6.2167134,5.3954673,5.942696,5.3673625
AC113608.2,4.489783,4.4076867,4.2229853,4.9541707,5.0645022,5.263913,7.5469513,4.0251384,5.769411,5.597508
AC114402.2,3.8193843,4.3152075,3.8278542,4.15264,3.0902717,4.826882,5.584364,4.202574,6.561902,6.1741123
AC114495.1,7.1590805,7.139158,5.3420415,6.5157795,6.426576,7.689783,4.862389,7.4689507,7.855558,7.86914
AC114689.3,5.1620107,5.694506,6.3219914,6.908993,5.8212714,5.31542,5.0041637,5.723197,5.3626103,5.035718
AC114730.2,6.1966615,6.2529798,6.2963204,6.7468204,7.3346524,6.348463,6.328745,7.1160994,6.248065,6.1324353
AC114752.1,6.5770664,6.9753747,6.679461,6.7381597,7.018626,6.4907556,6.127988,6.626912,5.8596106,5.495137
AC114755.1,8.2272625,8.2354145,7.8684564,7.981761,8.400713,7.842403,7.517498,7.865611,7.79281,7.7675962
AC114755.2,6.230674,5.328302,5.428267,5.1709914,5.061483,4.597392,5.625138,4.7466674,4.843644,4.894352
AC114755.5,2.9315233,4.543664,3.8462596,2.830292,4.3134203,5.8377953,5.952341,4.9232674,5.9152584,6.565847
AC114757.1,5.3878937,5.4766827,5.749369,4.9502563,5.524085,5.8065224,5.03481,5.9448013,6.1533823,6.0384192
AC114763.1,5.4720206,6.0596466,5.500336,5.1171446,5.6400976,5.6152115,4.524026,5.5207305,5.782517,4.8942184
AC114776.1,5.3116136,6.2465324,6.1424527,5.849926,6.0861454,6.481884,5.961302,6.505457,5.9208913,5.9108725
